Species,Abbreviation,Climatic type,Subfamily,C3/C4,decimalLatitude,decimalLongitude
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.2,0.766667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9,2.25
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.95,15.616667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.75,4.133333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.333333,13.25
Andropogon chinensis,Ach,tropical,Panicoideae,C4,12.983333,18.366667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.5,-7.566667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-9.9,34.533333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.166667,-4.166667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-0.25,11.583333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.666667,13.916667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.35,0.566667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.966667,0.4
Andropogon chinensis,Ach,tropical,Panicoideae,C4,-4,30.05
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.95,15.616667
